"subject" "activityName" "signalMeasure" "value"
"test" "LAYING" "angle(tBodyAccJerkMean),gravityMean)" 0.00400011434001862
"test" "LAYING" "angle(tBodyAccMean,gravity)" 0.00161190010813594
"test" "LAYING" "angle(tBodyGyroJerkMean,gravityMean)" 0.00631140905445065
"test" "LAYING" "angle(tBodyGyroMean,gravityMean)" 0.0410242790700559
"test" "LAYING" "angle(X,gravityMean)" 0.528501287467412
"test" "LAYING" "angle(Y,gravityMean)" -0.423168266256983
"test" "LAYING" "angle(Z,gravityMean)" -0.38068320072067
"test" "LAYING" "fBodyAcc-mean()-X" -0.968327808193668
"test" "LAYING" "fBodyAcc-mean()-Y" -0.962864108901304
"test" "LAYING" "fBodyAcc-mean()-Z" -0.969993645065177
"test" "LAYING" "fBodyAcc-meanFreq()-X" -0.246729149943358
"test" "LAYING" "fBodyAcc-meanFreq()-Y" 0.191441281109311
"test" "LAYING" "fBodyAcc-meanFreq()-Z" 0.24192313277879
"test" "LAYING" "fBodyAcc-std()-X" -0.963547345810056
"test" "LAYING" "fBodyAcc-std()-Y" -0.959297968620112
"test" "LAYING" "fBodyAcc-std()-Z" -0.964355421625698
"test" "LAYING" "fBodyAccJerk-mean()-X" -0.980219864897579
"test" "LAYING" "fBodyAccJerk-mean()-Y" -0.972664254394786
"test" "LAYING" "fBodyAccJerk-mean()-Z" -0.977401070260708
"test" "LAYING" "fBodyAccJerk-meanFreq()-X" 0.113484452241371
"test" "LAYING" "fBodyAccJerk-meanFreq()-Y" 0.0292877141456797
"test" "LAYING" "fBodyAccJerk-meanFreq()-Z" 0.0765647510680819
"test" "LAYING" "fBodyAccJerk-std()-X" -0.982173560986965
"test" "LAYING" "fBodyAccJerk-std()-Y" -0.973895600260708
"test" "LAYING" "fBodyAccJerk-std()-Z" -0.980879842532588
"test" "LAYING" "fBodyAccMag-mean()" -0.957424189783985
"test" "LAYING" "fBodyAccMag-meanFreq()" 0.162555931626685
"test" "LAYING" "fBodyAccMag-std()" -0.953138504479888
"test" "LAYING" "fBodyBodyAccJerkMag-mean()" -0.974611609068901
"test" "LAYING" "fBodyBodyAccJerkMag-meanFreq()" 0.276393066501602
"test" "LAYING" "fBodyBodyAccJerkMag-std()" -0.973586610782123
"test" "LAYING" "fBodyBodyGyroJerkMag-mean()" -0.976359034581006
"test" "LAYING" "fBodyBodyGyroJerkMag-meanFreq()" 0.172412084043203
"test" "LAYING" "fBodyBodyGyroJerkMag-std()" -0.975401442439479
"test" "LAYING" "fBodyBodyGyroMag-mean()" -0.957813942756052
"test" "LAYING" "fBodyBodyGyroMag-meanFreq()" 0.0138165208314339
"test" "LAYING" "fBodyBodyGyroMag-std()" -0.95021154301676
"test" "LAYING" "fBodyGyro-mean()-X" -0.969382140558659
"test" "LAYING" "fBodyGyro-mean()-Y" -0.966120752178771
"test" "LAYING" "fBodyGyro-mean()-Z" -0.968285986927374
"test" "LAYING" "fBodyGyro-meanFreq()-X" 0.00794820082000745
"test" "LAYING" "fBodyGyro-meanFreq()-Y" -0.119523630232216
"test" "LAYING" "fBodyGyro-meanFreq()-Z" 0.112908596725456
"test" "LAYING" "fBodyGyro-std()-X" -0.976403305605214
"test" "LAYING" "fBodyGyro-std()-Y" -0.961109421824953
"test" "LAYING" "fBodyGyro-std()-Z" -0.972050234487896
"test" "LAYING" "tBodyAcc-mean()-X" 0.267227589560521
"test" "LAYING" "tBodyAcc-mean()-Y" -0.0182456228329236
"test" "LAYING" "tBodyAcc-mean()-Z" -0.108134996675233
"test" "LAYING" "tBodyAcc-std()-X" -0.964750344692737
